id_pedido;data_pedido;doc_cliente;nome_cliente;sku_item;qtd;valor_final;frete_total;tipo;observacao;data_pedido_dt
1;11/02/2026 20:04;5,53E+12;UASG 70023 - Tribunal Regional Eleitoral de Goias;309020001;1;12.887;0.0;ORcAMENTO;;2026-02-11 20:04:00
2;12/02/2026 22:05;5,53E+12;UASG 70023 - Tribunal Regional Eleitoral de Goias;309020004;1;10.887;50.0;ORcAMENTO;TESTE;2026-02-12 22:05:00
2;12/02/2026 22:05;5,53E+12;UASG 70023 - Tribunal Regional Eleitoral de Goias;325010003;600;1.989;50.0;ORcAMENTO;TESTE;2026-02-12 22:05:00
2;12/02/2026 22:05;5,53E+12;UASG 70023 - Tribunal Regional Eleitoral de Goias;309020001;600;10.887;50.0;ORcAMENTO;TESTE;2026-02-12 22:05:00
3;12/02/2026 22:21;5,53E+12;UASG 70023 - Tribunal Regional Eleitoral de Goias;309020001;113;11.997;150.0;ORcAMENTO;90009/2026 OCORRE DIA 12/02/2026;2026-02-12 22:21:00
6;19/02/2026 19:37;46.377.800/0001-27;(UASG 180352) ESP-COMANDO POLIC.INTER-(CPI-8-CEL PM S.FILHO);309020001;73;8.887;150.0;ORCAMENTO;PREGAO ELETRONICO90008/2025 (SRP) (Lei 14.133/2021) UASG 732100 - CENTRO DE INST ALMIRANTE SYLVIO DE CAMARGO Criterio de julgamento: Menor Preco / Maior Desconto Modo disputa: Aberto Objeto: Eventual Aquisicao de material de Limpeza e Higienizacao, Expediente e Descartaveis Data limite de entrega de propostas: 25/02/2026 09:00;2026-02-19 19:37:00
6;19/02/2026 19:37;46.377.800/0001-27;(UASG 180352) ESP-COMANDO POLIC.INTER-(CPI-8-CEL PM S.FILHO);309020002;35;8.887;150.0;ORCAMENTO;PREGAO ELETRONICO90008/2025 (SRP) (Lei 14.133/2021) UASG 732100 - CENTRO DE INST ALMIRANTE SYLVIO DE CAMARGO Criterio de julgamento: Menor Preco / Maior Desconto Modo disputa: Aberto Objeto: Eventual Aquisicao de material de Limpeza e Higienizacao, Expediente e Descartaveis Data limite de entrega de propostas: 25/02/2026 09:00;2026-02-19 19:37:00
6;19/02/2026 19:37;46.377.800/0001-27;(UASG 180352) ESP-COMANDO POLIC.INTER-(CPI-8-CEL PM S.FILHO);309020005;35;8.887;150.0;ORCAMENTO;PREGAO ELETRONICO90008/2025 (SRP) (Lei 14.133/2021) UASG 732100 - CENTRO DE INST ALMIRANTE SYLVIO DE CAMARGO Criterio de julgamento: Menor Preco / Maior Desconto Modo disputa: Aberto Objeto: Eventual Aquisicao de material de Limpeza e Higienizacao, Expediente e Descartaveis Data limite de entrega de propostas: 25/02/2026 09:00;2026-02-19 19:37:00
6;19/02/2026 19:37;46.377.800/0001-27;(UASG 180352) ESP-COMANDO POLIC.INTER-(CPI-8-CEL PM S.FILHO);309020003;18;8.887;150.0;ORCAMENTO;PREGAO ELETRONICO90008/2025 (SRP) (Lei 14.133/2021) UASG 732100 - CENTRO DE INST ALMIRANTE SYLVIO DE CAMARGO Criterio de julgamento: Menor Preco / Maior Desconto Modo disputa: Aberto Objeto: Eventual Aquisicao de material de Limpeza e Higienizacao, Expediente e Descartaveis Data limite de entrega de propostas: 25/02/2026 09:00;2026-02-19 19:37:00
6;19/02/2026 19:37;46.377.800/0001-27;(UASG 180352) ESP-COMANDO POLIC.INTER-(CPI-8-CEL PM S.FILHO);309020004;18;8.887;150.0;ORCAMENTO;PREGAO ELETRONICO90008/2025 (SRP) (Lei 14.133/2021) UASG 732100 - CENTRO DE INST ALMIRANTE SYLVIO DE CAMARGO Criterio de julgamento: Menor Preco / Maior Desconto Modo disputa: Aberto Objeto: Eventual Aquisicao de material de Limpeza e Higienizacao, Expediente e Descartaveis Data limite de entrega de propostas: 25/02/2026 09:00;2026-02-19 19:37:00
5;13/02/2026 18:48;00.394.452/0123-28; UASG 732100 - CENTRO DE INSTRUCAO ALMIRANTE SYLVIO DE CAMARGO;304010002;600;8.8;0.0;ORCAMENTO;PREGAO ELETRONICO90008/2025 (SRP) (Lei 14.133/2021) UASG 732100 - CENTRO DE INST ALMIRANTE SYLVIO DE CAMARGO Criterio de julgamento: Menor Preco / Maior Desconto Modo disputa: Aberto Objeto: Eventual Aquisicao de material de Limpeza e Higienizacao, Expediente e Descartaveis Data limite de entrega de propostas: 25/02/2026 09:00;2026-02-13 18:48:00
5;13/02/2026 18:48;00.394.452/0123-28; UASG 732100 - CENTRO DE INSTRUCAO ALMIRANTE SYLVIO DE CAMARGO;305010004;21;13.21;0.0;ORCAMENTO;PREGAO ELETRONICO90008/2025 (SRP) (Lei 14.133/2021) UASG 732100 - CENTRO DE INST ALMIRANTE SYLVIO DE CAMARGO Criterio de julgamento: Menor Preco / Maior Desconto Modo disputa: Aberto Objeto: Eventual Aquisicao de material de Limpeza e Higienizacao, Expediente e Descartaveis Data limite de entrega de propostas: 25/02/2026 09:00;2026-02-13 18:48:00
4;13/02/2026 18:15;96.291.141/0001-80; UASG 380101 - SECRETARIA DA ADMINISTRACAO PENITENCIARIA;304010002;50;8.8;0.0;ORCAMENTO;|  PREGAO ELETRONICO90001/2026 (Lei 14.133/2021) UASG 380101 - ESP-GABINETE DO SECRETARIO E ASSES.SEC.AD.PEN Criterio de julgamento: Menor Preco / Maior Desconto Modo disputa: Aberto Objeto: Aquisicao de Materiais de Consumo - Materiais de Escritorio Data limite de entrega de propostas: 20/02/2026 08:00;
