id_documento;tipo_pessoa;nome_razao;nome_fantasia;rg_ie;email;telefone;cep;endereco;numero;complemento;bairro;cidade;uf;categoria;limite_credito;status;data_cadastro
23.122.111/0001-45; JURIDICA; UASG 984141 - MUNICIPIO DE ABRE CAMPO; PREFEITURA ABRE CAMPO; ISENTO; licitacoes@abrecampo.mg.gov.br; (31) 3872-1200; 35365-000; Avenida Getulio Vargas;10; s/n; Centro; Abre Campo; MG; CLIENTE; NADA; ATIVO; 13/02/2026
31.428.110/0001-18; JURIDICA; UASG 982589 - MUNICIPIO DE AFONSO CLAUDIO; PREFEITURA A CLAUDIO; ISENTO; licitacoes@afonsoclaudio.es.gov.br; (27) 3735-4000; 29600-000; Praca da Independencia;341; s/n; Centro; Afonso Claudio; ES; CLIENTE; NADA; ATIVO; 13/02/2026
31.428.110/0001-19; JURIDICA; UASG 982591 - MUNICIPIO DE ALEGRE; PREFEITURA ALEGRE; ISENTO; licitacoes@alegre.es.gov.br; (28) 3552-1212; 29500-000; Parque de Exposicoes; s/n; s/n; Centro; Alegre; ES; CLIENTE; NADA; ATIVO; 13/02/2026
10.834.018/0002-35; JURIDICA; UASG 158463 - IFFARROUPILHA CAMPUS ALEGRETE; INSTITUTO FEDERAL; ISENTO; compras.ale@iffarroupilha.edu.br; (55) 3421-9600; 97500-000; Rodovia RS 377; s/n; km 27; Passo Novo; Alegrete; RS; CLIENTE; NADA; ATIVO; 13/02/2026
90.012.888/0001-67; JURIDICA; UASG 984115 - MUNICIPIO DE ALEGRETE; PREFEITURA ALEGRETE; ISENTO; licitacoes@alegrete.rs.gov.br; (55) 3961-1600; 97541-001; Rua Vasco Alves;125; s/n; Centro; Alegrete; RS; CLIENTE; NADA; ATIVO; 13/02/2026
18.767.666/0001-56; JURIDICA; UASG 984113 - MUNICIPIO DE ALFENAS; PREFEITURA ALFENAS; ISENTO; licitacoes@alfenas.mg.gov.br; (35) 3698-1300; 37130-000; Praca Fausto Monteiro; s/n; s/n; Centro; Alfenas; MG; CLIENTE; NADA; ATIVO; 13/02/2026
20.456.789/0001-66; JURIDICA; UASG 153166 - UNIVERSIDADE FEDERAL DE ALFENAS; UNIFAL; ISENTO; compras@unifal-mg.edu.br; (35) 3701-9000; 37130-001; Rua Gabriel Monteiro da Silva;700; s/n; Centro; Alfenas; MG; CLIENTE; NADA; ATIVO; 13/02/2026
31.428.110/0001-20; JURIDICA; UASG 982593 - MUNICIPIO DE ALFREDO CHAVES; PREFEITURA A CHAVES; ISENTO; licitacoes@alfredochaves.es.gov.br; (27) 3269-2700; 29240-000; Rua Moacir de Souza Dias; s/n; s/n; Centro; Alfredo Chaves; ES; CLIENTE; NADA; ATIVO; 13/02/2026
76.205.585/0001-30; JURIDICA; UASG 987455 - MUNICIPIO DE ALMIRANTE TAMANDARE; PREFEITURA ALMIRANTE; ISENTO; licitacao@tamandare.pr.gov.br; (41) 3699-8100; 83501-080; Avenida Emilio Johnson;522; s/n; Centro; Almirante Tamandare; PR; CLIENTE; NADA; ATIVO; 13/02/2026
46.525.521/0001-59; JURIDICA; UASG 989295 - MUNICIPIO DE ALUMINIO; PREFEITURA ALUMINIO; ISENTO; licitacoes@aluminio.sp.gov.br; (11) 4715-5500; 18125-000; Avenida Engenheiro Antonio de Castro Figueiroa;100; s/n; Centro; Aluminio; SP; CLIENTE; NADA; ATIVO; 13/02/2026
88.611.344/0001-22; JURIDICA; UASG 984117 - MUNICIPIO DE ALVORADA; PREFEITURA ALVORADA; ISENTO; licitacoes@alvorada.rs.gov.br; (51) 3411-8000; 94810-001; Avenida Getulio Vargas;2266; s/n; Centro; Alvorada; RS; CLIENTE; NADA; ATIVO; 13/02/2026
87.612.826/0001-70; JURIDICA; UASG 984103 - MUNICIPIO DE ALVORADA; PREFEITURA ALVORADA; ISENTO; licitacao@alvorada.rs.gov.br; (51) 3044-8500; 94810-000; Avenida Getulio Vargas;2266; s/n; Centro; Alvorada; RS; CLIENTE; NADA; ATIVO; 13/02/2026
46.523.784/0001-17; JURIDICA; UASG 989163 - MUNICIPIO DE AMERICANA; PREFEITURA AMERICANA; ISENTO; licitacoes@americana.sp.gov.br; (19) 3475-9000; 13465-901; Avenida Brasil;85; s/n; Centro; Americana; SP; CLIENTE; NADA; ATIVO; 13/02/2026
46.525.104/0001-62; JURIDICA; UASG 989253 - MUNICIPIO DE AMPARO; PREFEITURA AMPARO; ISENTO; licitacoes@amparo.sp.gov.br; (19) 3817-9200; 13900-000; Avenida Bernardino de Campos;705; s/n; Centro; Amparo; SP; CLIENTE; NADA; ATIVO; 13/02/2026
31.428.110/0001-21; JURIDICA; UASG 982595 - MUNICIPIO DE ANCHIETA; PREFEITURA ANCHIETA; ISENTO; licitacoes@anchieta.es.gov.br; (28) 3536-1788; 29230-000; Rodovia do Sol; s/n; km 21; Centro; Anchieta; ES; CLIENTE; NADA; ATIVO; 13/02/2026
